,ROMEO_PASTERNAK_SHAKESPEARE,HAMLET_RADLOVA_SHAKESPEARE,CLEOPATRA_PASTERNAK_SHAKESPEARE,OTHELLO_PASTERNAK_SHAKESPEARE,OTHELLO_LEITIN_SHAKESPEARE,KINGLEAR_PASTERNAK_SHAKESPEARE,KINGLEAR_SCHEPKINAKUPERNIK_SHAKESPEARE,HAMLET_PASTERNAK_SHAKESPEARE,CLEOPATRA_DONSKOY_SHAKESPEARE,KINGLEAR_KUZMIN_SHAKESPEARE,ROMEO_RADLOVA_SHAKESPEARE,HAMLET_LOZINSKIY_SHAKESPEARE,HAMLET_ROSSOV_SHAKESPEARE,OTHELLO_LOZINSKIY_SHAKESPEARE,OTHELLO_RADLOVA_SHAKESPEARE
NUMRnomn,-1.610256515284468,0.40256412882111664,-1.2747864079335371,-1.1070513542580718,-0.4361111395562102,0.23482907514565127,0.7380342361720474,0.7380342361720474,-1.2747864079335371,1.7444445582248396,0.7380342361720474,1.2412393971984435,0.40256412882111664,-0.26837608588074485,-0.26837608588074485
ADJFИSubxИQualmascИsingИnomn,-0.4717369406340422,-0.036287456971849284,-1.0160487952117834,-0.5805993115495904,-0.1451498278873975,0.18143728485924718,0.9434738812680847,-0.7983240533806869,-1.1249111661273317,-0.036287456971849284,2.7941341868324048,0.9434738812680847,-0.25401219880294573,0.3991620266903436,-0.7983240533806869
NOUNИanimИfemnsingИaccs,-1.314937195861395,-0.15469849363075247,-1.5083103128998354,0.8121670915614496,1.392286442676771,-0.9281909617845142,0.6187939745230092,-1.1215640788229546,1.0055402085998901,-0.5414447277076333,0.6187939745230092,-0.5414447277076333,-0.5414447277076333,0.8121670915614496,1.392286442676771
ADJFИAproИSubxИAnphplurИgent,-0.6020461335525429,2.5586960675983073,0.15051153338813572,-1.5051153338813572,-1.3546038004932215,0.7525576669406786,-0.15051153338813572,0.30102306677627144,0.30102306677627144,-1.05358073371695,0.0,0.9030692003288143,-0.30102306677627144,0.30102306677627144,-0.30102306677627144
NOUNИinanИmascplurИloct,0.24173214714795427,0.45502521816085517,0.881611360186657,-1.0380262789294512,0.028439076135053355,-0.39814706589074844,-0.39814706589074844,1.094904431199558,2.3746628572769635,0.24173214714795427,-1.251319349942352,-0.6114401369036494,0.45502521816085517,-0.6114401369036494,-1.464612420955253
NPROИmascИTHIRDperИAnphsingИgentИAfp,-1.8285209715748254,1.5576289757859623,-0.6433684899985498,0.37247649420968654,-0.4740609926305104,1.2190139810498835,0.8803989863138046,0.8803989863138046,-0.30475349526247103,-0.6433684899985498,-1.8285209715748254,-0.13544599789443162,0.20316899684164713,0.033861499473607753,0.7110914889457652
NOUNИanimИfemnsingИablt,-1.2807437792167269,-0.5122975116866909,-0.3201859448041819,-0.3201859448041819,2.5614875584334533,-0.3201859448041819,-0.5122975116866909,-0.7044090785691999,1.6009297240209082,-1.088632212334218,-0.3201859448041819,0.06403718896083611,0.44826032272585414,0.06403718896083611,0.6403718896083631
ADJFИAproИSubxИAnphneutИsingИgent,-1.0057318386225167,1.6017210763247496,-0.446991928276674,-1.1919784754044644,-0.26074529149472636,-0.26074529149472636,-0.8194852018405692,1.2292278027608545,1.2292278027608545,1.0429811659789068,-1.0057318386225167,0.8567345291969592,-0.07449865471277878,-1.378225112186412,0.484241255633064
NOUNИinanИfemnplurИdatv,-0.493137465328375,0.32875831021891716,0.7397061979925632,-1.7259811286493132,-1.1095592969888441,0.5342322541057402,0.7397061979925632,1.3561280296530325,0.5342322541057402,1.5616019735398554,-0.9040853531020211,0.7397061979925632,-0.28766352144155194,-0.9040853531020211,-1.1095592969888441
NOUNИinanИmascplurИaccs,-0.9514915840863171,0.13248616993606965,0.8551380059509942,-0.4095027070751237,-0.2288397480713926,-0.2288397480713926,-0.9514915840863171,2.1197787189771122,1.2164639239584565,0.13248616993606965,-1.4934804610975105,1.3971268829621877,-0.2288397480713926,-0.770828625082586,-0.5901656660788549
